formal_job_id,condition,master_seed,step,checkpoint_index,n_episodes,mutation_any
baseline__61001,baseline,61001,0,0,16,False
baseline__61001,baseline,61001,10000,1,16,False
baseline__61001,baseline,61001,25000,2,16,False
baseline__61001,baseline,61001,50000,3,16,False
baseline__61001,baseline,61001,75000,4,16,False
baseline__61001,baseline,61001,100000,5,16,False
baseline__61002,baseline,61002,0,0,16,False
baseline__61002,baseline,61002,10000,1,16,False
baseline__61002,baseline,61002,25000,2,16,False
baseline__61002,baseline,61002,50000,3,16,False
baseline__61002,baseline,61002,75000,4,16,False
baseline__61002,baseline,61002,100000,5,16,False
baseline__61003,baseline,61003,0,0,16,False
baseline__61003,baseline,61003,10000,1,16,False
baseline__61003,baseline,61003,25000,2,16,False
baseline__61003,baseline,61003,50000,3,16,False
baseline__61003,baseline,61003,75000,4,16,False
baseline__61003,baseline,61003,100000,5,16,False
baseline__61004,baseline,61004,0,0,16,False
baseline__61004,baseline,61004,10000,1,16,False
baseline__61004,baseline,61004,25000,2,16,False
baseline__61004,baseline,61004,50000,3,16,False
baseline__61004,baseline,61004,75000,4,16,False
baseline__61004,baseline,61004,100000,5,16,False
baseline__61005,baseline,61005,0,0,16,False
baseline__61005,baseline,61005,10000,1,16,False
baseline__61005,baseline,61005,25000,2,16,False
baseline__61005,baseline,61005,50000,3,16,False
baseline__61005,baseline,61005,75000,4,16,False
baseline__61005,baseline,61005,100000,5,16,False
baseline__61006,baseline,61006,0,0,16,False
baseline__61006,baseline,61006,10000,1,16,False
baseline__61006,baseline,61006,25000,2,16,False
baseline__61006,baseline,61006,50000,3,16,False
baseline__61006,baseline,61006,75000,4,16,False
baseline__61006,baseline,61006,100000,5,16,False
baseline__61007,baseline,61007,0,0,16,False
baseline__61007,baseline,61007,10000,1,16,False
baseline__61007,baseline,61007,25000,2,16,False
baseline__61007,baseline,61007,50000,3,16,False
baseline__61007,baseline,61007,75000,4,16,False
baseline__61007,baseline,61007,100000,5,16,False
baseline__61008,baseline,61008,0,0,16,False
baseline__61008,baseline,61008,10000,1,16,False
baseline__61008,baseline,61008,25000,2,16,False
baseline__61008,baseline,61008,50000,3,16,False
baseline__61008,baseline,61008,75000,4,16,False
baseline__61008,baseline,61008,100000,5,16,False
baseline__61009,baseline,61009,0,0,16,False
baseline__61009,baseline,61009,10000,1,16,False
baseline__61009,baseline,61009,25000,2,16,False
baseline__61009,baseline,61009,50000,3,16,False
baseline__61009,baseline,61009,75000,4,16,False
baseline__61009,baseline,61009,100000,5,16,False
baseline__61010,baseline,61010,0,0,16,False
baseline__61010,baseline,61010,10000,1,16,False
baseline__61010,baseline,61010,25000,2,16,False
baseline__61010,baseline,61010,50000,3,16,False
baseline__61010,baseline,61010,75000,4,16,False
baseline__61010,baseline,61010,100000,5,16,False
mean_pbrs__61001,mean_pbrs,61001,0,0,16,False
mean_pbrs__61001,mean_pbrs,61001,10000,1,16,False
mean_pbrs__61001,mean_pbrs,61001,25000,2,16,False
mean_pbrs__61001,mean_pbrs,61001,50000,3,16,False
mean_pbrs__61001,mean_pbrs,61001,75000,4,16,False
mean_pbrs__61001,mean_pbrs,61001,100000,5,16,False
mean_pbrs__61002,mean_pbrs,61002,0,0,16,False
mean_pbrs__61002,mean_pbrs,61002,10000,1,16,False
mean_pbrs__61002,mean_pbrs,61002,25000,2,16,False
mean_pbrs__61002,mean_pbrs,61002,50000,3,16,False
mean_pbrs__61002,mean_pbrs,61002,75000,4,16,False
mean_pbrs__61002,mean_pbrs,61002,100000,5,16,False
mean_pbrs__61003,mean_pbrs,61003,0,0,16,False
mean_pbrs__61003,mean_pbrs,61003,10000,1,16,False
mean_pbrs__61003,mean_pbrs,61003,25000,2,16,False
mean_pbrs__61003,mean_pbrs,61003,50000,3,16,False
mean_pbrs__61003,mean_pbrs,61003,75000,4,16,False
mean_pbrs__61003,mean_pbrs,61003,100000,5,16,False
mean_pbrs__61004,mean_pbrs,61004,0,0,16,False
mean_pbrs__61004,mean_pbrs,61004,10000,1,16,False
mean_pbrs__61004,mean_pbrs,61004,25000,2,16,False
mean_pbrs__61004,mean_pbrs,61004,50000,3,16,False
mean_pbrs__61004,mean_pbrs,61004,75000,4,16,False
mean_pbrs__61004,mean_pbrs,61004,100000,5,16,False
mean_pbrs__61005,mean_pbrs,61005,0,0,16,False
mean_pbrs__61005,mean_pbrs,61005,10000,1,16,False
mean_pbrs__61005,mean_pbrs,61005,25000,2,16,False
mean_pbrs__61005,mean_pbrs,61005,50000,3,16,False
mean_pbrs__61005,mean_pbrs,61005,75000,4,16,False
mean_pbrs__61005,mean_pbrs,61005,100000,5,16,False
mean_pbrs__61006,mean_pbrs,61006,0,0,16,False
mean_pbrs__61006,mean_pbrs,61006,10000,1,16,False
mean_pbrs__61006,mean_pbrs,61006,25000,2,16,False
mean_pbrs__61006,mean_pbrs,61006,50000,3,16,False
mean_pbrs__61006,mean_pbrs,61006,75000,4,16,False
mean_pbrs__61006,mean_pbrs,61006,100000,5,16,False
mean_pbrs__61007,mean_pbrs,61007,0,0,16,False
mean_pbrs__61007,mean_pbrs,61007,10000,1,16,False
mean_pbrs__61007,mean_pbrs,61007,25000,2,16,False
mean_pbrs__61007,mean_pbrs,61007,50000,3,16,False
mean_pbrs__61007,mean_pbrs,61007,75000,4,16,False
mean_pbrs__61007,mean_pbrs,61007,100000,5,16,False
mean_pbrs__61008,mean_pbrs,61008,0,0,16,False
mean_pbrs__61008,mean_pbrs,61008,10000,1,16,False
mean_pbrs__61008,mean_pbrs,61008,25000,2,16,False
mean_pbrs__61008,mean_pbrs,61008,50000,3,16,False
mean_pbrs__61008,mean_pbrs,61008,75000,4,16,False
mean_pbrs__61008,mean_pbrs,61008,100000,5,16,False
mean_pbrs__61009,mean_pbrs,61009,0,0,16,False
mean_pbrs__61009,mean_pbrs,61009,10000,1,16,False
mean_pbrs__61009,mean_pbrs,61009,25000,2,16,False
mean_pbrs__61009,mean_pbrs,61009,50000,3,16,False
mean_pbrs__61009,mean_pbrs,61009,75000,4,16,False
mean_pbrs__61009,mean_pbrs,61009,100000,5,16,False
mean_pbrs__61010,mean_pbrs,61010,0,0,16,False
mean_pbrs__61010,mean_pbrs,61010,10000,1,16,False
mean_pbrs__61010,mean_pbrs,61010,25000,2,16,False
mean_pbrs__61010,mean_pbrs,61010,50000,3,16,False
mean_pbrs__61010,mean_pbrs,61010,75000,4,16,False
mean_pbrs__61010,mean_pbrs,61010,100000,5,16,False
min_pbrs__61001,min_pbrs,61001,0,0,16,False
min_pbrs__61001,min_pbrs,61001,10000,1,16,False
min_pbrs__61001,min_pbrs,61001,25000,2,16,False
min_pbrs__61001,min_pbrs,61001,50000,3,16,False
min_pbrs__61001,min_pbrs,61001,75000,4,16,False
min_pbrs__61001,min_pbrs,61001,100000,5,16,False
min_pbrs__61002,min_pbrs,61002,0,0,16,False
min_pbrs__61002,min_pbrs,61002,10000,1,16,False
min_pbrs__61002,min_pbrs,61002,25000,2,16,False
min_pbrs__61002,min_pbrs,61002,50000,3,16,False
min_pbrs__61002,min_pbrs,61002,75000,4,16,False
min_pbrs__61002,min_pbrs,61002,100000,5,16,False
min_pbrs__61003,min_pbrs,61003,0,0,16,False
min_pbrs__61003,min_pbrs,61003,10000,1,16,False
min_pbrs__61003,min_pbrs,61003,25000,2,16,False
min_pbrs__61003,min_pbrs,61003,50000,3,16,False
min_pbrs__61003,min_pbrs,61003,75000,4,16,False
min_pbrs__61003,min_pbrs,61003,100000,5,16,False
min_pbrs__61004,min_pbrs,61004,0,0,16,False
min_pbrs__61004,min_pbrs,61004,10000,1,16,False
min_pbrs__61004,min_pbrs,61004,25000,2,16,False
min_pbrs__61004,min_pbrs,61004,50000,3,16,False
min_pbrs__61004,min_pbrs,61004,75000,4,16,False
min_pbrs__61004,min_pbrs,61004,100000,5,16,False
min_pbrs__61005,min_pbrs,61005,0,0,16,False
min_pbrs__61005,min_pbrs,61005,10000,1,16,False
min_pbrs__61005,min_pbrs,61005,25000,2,16,False
min_pbrs__61005,min_pbrs,61005,50000,3,16,False
min_pbrs__61005,min_pbrs,61005,75000,4,16,False
min_pbrs__61005,min_pbrs,61005,100000,5,16,False
min_pbrs__61006,min_pbrs,61006,0,0,16,False
min_pbrs__61006,min_pbrs,61006,10000,1,16,False
min_pbrs__61006,min_pbrs,61006,25000,2,16,False
min_pbrs__61006,min_pbrs,61006,50000,3,16,False
min_pbrs__61006,min_pbrs,61006,75000,4,16,False
min_pbrs__61006,min_pbrs,61006,100000,5,16,False
min_pbrs__61007,min_pbrs,61007,0,0,16,False
min_pbrs__61007,min_pbrs,61007,10000,1,16,False
min_pbrs__61007,min_pbrs,61007,25000,2,16,False
min_pbrs__61007,min_pbrs,61007,50000,3,16,False
min_pbrs__61007,min_pbrs,61007,75000,4,16,False
min_pbrs__61007,min_pbrs,61007,100000,5,16,False
min_pbrs__61008,min_pbrs,61008,0,0,16,False
min_pbrs__61008,min_pbrs,61008,10000,1,16,False
min_pbrs__61008,min_pbrs,61008,25000,2,16,False
min_pbrs__61008,min_pbrs,61008,50000,3,16,False
min_pbrs__61008,min_pbrs,61008,75000,4,16,False
min_pbrs__61008,min_pbrs,61008,100000,5,16,False
min_pbrs__61009,min_pbrs,61009,0,0,16,False
min_pbrs__61009,min_pbrs,61009,10000,1,16,False
min_pbrs__61009,min_pbrs,61009,25000,2,16,False
min_pbrs__61009,min_pbrs,61009,50000,3,16,False
min_pbrs__61009,min_pbrs,61009,75000,4,16,False
min_pbrs__61009,min_pbrs,61009,100000,5,16,False
